,Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoffs,Championship
0,2000,Sacramento Kings,82,20080,39.7,88.2,0.449,6.1,17.1,0.354,33.6,71.1,0.472,20.3,26.3,0.771,12.5,34.2,46.7,23.4,10,5.5,15.5,20.2,105.6,TRUE,FALSE
1,2000,Milwaukee Bucks,82,19780,41,89.5,0.458,7.4,19.5,0.379,33.6,70,0.48,19.4,24.7,0.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8,TRUE,FALSE
2,2000,Los Angeles Lakers,82,19905,40.9,87.9,0.465,5.8,16.8,0.344,35.1,71.1,0.494,20.9,30.7,0.683,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4,TRUE,TRUE
3,2000,Dallas Mavericks,82,19805,40.1,87.3,0.459,6.7,17.6,0.381,33.4,69.7,0.479,20.2,25.4,0.794,10.8,33.4,44.2,22.6,8,6.4,14.8,24.8,107.1,TRUE,FALSE
4,2000,Toronto Raptors,82,19955,40.3,92.2,0.437,5.7,15.4,0.369,34.6,76.8,0.451,19.6,26.2,0.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9,TRUE,FALSE
5,2000,Orlando Magic,82,19955,38.9,88.7,0.438,6.3,17.4,0.364,32.6,71.4,0.456,19.1,26.7,0.714,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2,TRUE,FALSE
6,2000,Minnesota Timberwolves,82,19830,41.5,90.5,0.458,4.2,11.9,0.357,37.2,78.7,0.473,18,22.9,0.785,13.2,32.6,45.8,27.5,9,6,15,25,105.2,TRUE,FALSE
7,2000,Oklahoma City Thunder,82,19805,40.1,88,0.456,6.2,15.5,0.399,33.9,72.5,0.468,19.2,26.3,0.732,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6,FALSE,FALSE
8,2000,Houston Rockets,82,19830,39.4,86.9,0.453,6.7,18.9,0.357,32.7,68,0.48,21.2,27.9,0.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7,FALSE,FALSE
9,2000,Utah Jazz,82,19780,40,85,0.471,4.4,11.5,0.381,35.6,73.5,0.485,23.2,30.8,0.752,12.7,32.2,45,28.5,8.9,6.3,17.5,28.5,107.6,TRUE,FALSE
10,2000,Denver Nuggets,82,19780,39,90.1,0.433,6.7,18.9,0.355,32.3,71.2,0.454,19,25.7,0.737,13.7,33.8,47.5,25.8,7.2,7,14.9,23.8,103.7,FALSE,FALSE
11,2000,San Antonio Spurs,82,19830,39,84.6,0.461,6,14.8,0.407,33,69.8,0.472,22.6,31.6,0.715,12.2,36.6,48.8,24,7.7,7.8,15.5,21,106.6,TRUE,FALSE
12,2000,Detroit Pistons,82,19855,37.2,87.8,0.424,5,14.2,0.35,32.3,73.6,0.439,20.5,28.5,0.721,14.1,33.5,47.6,20.8,7.8,5.7,16.6,24.9,100,FALSE,FALSE
13,2000,Portland Trail Blazers,82,19780,40.9,87.3,0.468,5,14.4,0.349,35.9,73,0.492,19.7,25.8,0.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5,TRUE,FALSE
14,2000,Philadelphia 76ers,82,19855,38.7,86.6,0.447,3.5,10.7,0.326,35.2,75.8,0.464,22.6,30.4,0.745,14.3,34.7,49,22.6,9.2,5.4,17.2,22.3,103.6,TRUE,FALSE
15,2000,Boston Celtics,82,19830,36.3,84.8,0.428,7.7,21.3,0.363,28.5,63.4,0.45,21.2,28.6,0.74,11.7,30.9,42.7,22.3,10.1,4.4,16.8,25.5,101.4,FALSE,FALSE
16,2000,Phoenix Suns,82,19805,38.3,87.9,0.436,4.3,13.7,0.315,34,74.2,0.458,19.4,25.7,0.755,12.6,32.9,45.5,24.8,10.1,5.6,16.3,24.3,100.3,TRUE,FALSE
17,2000,Washington Wizards,82,19680,37.3,84.9,0.439,3.6,11.2,0.324,33.7,73.8,0.456,22.4,29.5,0.759,13.4,31.2,44.6,21.7,8.3,5,18.3,25.2,100.6,FALSE,FALSE
18,2000,Indiana Pacers,82,19980,38,86.4,0.44,5.3,15.6,0.342,32.7,70.8,0.461,20.7,27,0.766,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,102,TRUE,FALSE
19,2000,Golden State Warriors,82,19780,37.9,92.5,0.409,3.6,12.4,0.293,34.2,80.1,0.427,18.4,26.1,0.706,17.3,30.8,48.1,23.1,9.6,5.3,16.8,22.3,97.8,FALSE,FALSE
20,2000,Los Angeles Clippers,82,20030,38.7,86.4,0.448,4.8,14.2,0.339,33.9,72.2,0.469,19.1,27.5,0.693,12.9,34.2,47.1,21.2,6.5,6.9,17.3,23.7,101.3,FALSE,FALSE
21,2000,Cleveland Cavaliers,82,19830,38.3,86.7,0.442,2.9,8.7,0.334,35.4,77.9,0.455,20.7,27.1,0.765,13.5,32.4,45.8,22.7,8.5,5.8,17.9,25.3,100.3,FALSE,FALSE
22,2000,Brooklyn Nets,82,19730,36.8,86.8,0.425,4.8,14.4,0.333,32.1,72.4,0.443,21.6,28.4,0.759,12,31,43,21.2,8.6,5.4,16,26.3,100,FALSE,FALSE
23,2000,New Orleans Pelicans,82,19880,37.8,87.8,0.431,4.6,13.3,0.346,33.2,74.5,0.446,21.6,29,0.745,13.9,35.2,49.2,25.7,9,6.1,16,23.7,101.8,TRUE,FALSE
24,2000,Memphis Grizzlies,82,19780,38,86.5,0.439,4.3,12.5,0.343,33.7,74,0.455,19.3,25,0.77,11.8,32.2,44,25.1,7.8,4.8,17.1,22.9,99.6,FALSE,FALSE
