Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoffs2,Championship
2000,New York Knicks,82,19905,35.7,85.7,0.417,6.2,17.6,0.352,29.5,68.1,0.434,20.6,28,0.733,12.1,33.6,45.8,21.9,8.3,4.7,16.9,24.4,98.2,TRUE,FALSE
2000,Miami Heat,82,19880,37.4,86.8,0.431,5,15.1,0.331,32.5,71.7,0.452,18.6,25.2,0.737,12.7,35,47.7,19.7,8.3,5.9,17.7,25.3,98.5,TRUE,FALSE
2000,San Antonio Spurs,82,19830,38.3,91.5,0.419,4.6,14.1,0.329,33.7,77.4,0.435,16.7,22.5,0.741,13.1,32.9,45.9,21.8,8.1,5.8,15,26.3,98,TRUE,FALSE
2000,Charlotte Hornets,82,19880,37.4,87.8,0.426,5.3,14.6,0.36,32.1,73.2,0.439,19.5,25.8,0.756,12,32.9,44.9,23.6,8.3,5.1,16.3,23.9,99.5,TRUE,FALSE
2000,Philadelphia 76ers,82,19855,38.3,89.4,0.429,5.7,16.7,0.342,32.6,72.7,0.448,16.6,22.1,0.749,13.1,31.6,44.7,23.6,9,6.1,16.8,25.9,98.9,TRUE,FALSE
2000,Portland Trail Blazers,82,19780,38.4,87.6,0.438,5.5,15,0.368,32.8,72.6,0.452,19.5,26.3,0.744,12.9,30.5,43.3,23.8,8.8,4.4,16.6,23.7,101.8,TRUE,FALSE
2000,Phoenix Suns,82,19805,36.3,83.6,0.435,4.3,12.2,0.349,32.1,71.4,0.449,21.1,27.7,0.761,11.7,33.7,45.4,21.5,8.9,5.4,18.6,23.7,98,TRUE,FALSE
2000,Utah Jazz,82,19780,36.1,82.1,0.439,5.5,16.1,0.343,30.5,66,0.462,24.7,32.3,0.765,11.8,29.5,41.3,21.1,9.4,6.1,17.8,27.1,102.4,TRUE,FALSE
2000,Indiana Pacers,82,19980,38,89.8,0.423,5.1,15.1,0.336,32.9,74.7,0.441,21.1,27.9,0.758,14,33.5,47.5,22.8,7.9,5.2,15,25.3,102.2,TRUE,FALSE
2000,Houston Rockets,82,19830,40.4,90.1,0.449,4.8,13.6,0.354,35.6,76.6,0.465,18.5,24.9,0.744,13.2,32.4,45.6,23.2,8.1,5.4,14.6,23.7,104.2,FALSE,FALSE
2000,Los Angeles Clippers,82,20030,40,90.9,0.44,4.7,14.4,0.329,35.3,76.5,0.461,19.7,26.5,0.743,13.9,32.6,46.5,23.9,8.5,5.5,14,24,104.5,FALSE,FALSE
2000,Toronto Raptors,82,19955,39.8,88.9,0.447,5,13.8,0.363,34.8,75.1,0.463,18.8,25,0.754,12.2,33.2,45.5,22.4,7.4,5.8,15.3,23.7,103.4,TRUE,FALSE
2000,Sacramento Kings,82,20080,39.1,90.4,0.432,5.1,14.3,0.355,34,76.1,0.447,16.3,21.8,0.749,14.2,33.5,47.7,23,8.4,6,16.9,22.4,99.6,TRUE,FALSE
2000,Minnesota Timberwolves,82,19830,39.2,86.8,0.452,4.6,13.1,0.351,34.6,73.7,0.47,20.7,28.5,0.724,12.7,33,45.8,24.2,7.7,4.7,16.4,21.8,103.7,TRUE,FALSE
2000,Atlanta Hawks,82,19730,38.7,87.4,0.442,5.2,14.3,0.367,33.4,73.1,0.457,21.8,28.5,0.765,13.6,33.5,47.1,23,9.2,6.8,16,22.4,104.3,FALSE,FALSE
2000,Dallas Mavericks,82,19805,38.2,87,0.439,5,14.8,0.334,33.2,72.2,0.46,21.2,29,0.731,13.9,34.1,48,23.1,8.1,4.9,16.6,24,102.6,TRUE,FALSE
