Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,82,19930,36.7,86.5,.425,5.2,15.3,.342,31.5,71.2,.442,21.6,29.3,.736,12.3,34.2,46.5,20.1,8.5,4.9,15.6,23.5,100.2
2,Philadelphia 76ers*,82,19730,37.9,89.0,.426,6.0,18.1,.331,31.9,70.9,.451,18.5,24.6,.751,13.4,32.1,45.6,24.2,9.0,6.3,16.5,25.0,100.3
3,San Antonio Spurs*,82,19855,38.7,91.0,.426,5.0,14.9,.338,33.7,76.1,.443,17.2,22.2,.777,13.5,32.6,46.1,20.7,8.5,5.7,16.0,25.5,99.7
4,Toronto Raptors*,82,19755,38.6,87.5,.441,5.2,14.9,.346,33.4,72.6,.461,20.7,27.5,.752,13.6,33.3,47.0,22.3,8.6,5.4,17.1,22.1,103.1
5,New Jersey Nets*,82,19830,37.7,87.9,.429,5.4,15.5,.348,32.3,72.4,.446,18.8,24.9,.753,13.2,33.2,46.4,20.6,8.8,5.8,17.4,22.0,99.5
6,Detroit Pistons*,82,19680,39.6,88.7,.447,4.9,13.5,.362,34.8,75.2,.462,18.3,24.2,.755,13.4,34.0,47.4,22.2,8.8,4.5,17.2,25.4,102.4
7,Charlotte Hornets*,82,19755,38.6,89.3,.432,5.9,15.7,.375,32.7,73.7,.444,20.2,26.3,.768,13.0,32.5,45.6,22.2,8.5,5.7,15.4,23.1,103.3
8,Portland Trail Blazers*,82,19830,40.0,88.2,.453,6.3,17.4,.363,33.7,70.8,.476,17.8,24.0,.741,12.1,31.5,43.6,26.3,8.3,5.6,16.4,22.4,104.0
9,Boston Celtics*,82,19830,36.6,86.1,.425,6.7,19.8,.340,29.9,66.3,.450,21.1,27.4,.771,12.5,36.7,49.2,23.6,8.2,6.2,17.5,22.7,101.0
10,Los Angeles Lakers*,82,19780,37.8,89.3,.424,5.3,16.6,.317,32.6,72.7,.448,20.8,27.3,.761,13.4,33.3,46.7,21.6,7.7,4.7,15.1,24.9,101.7
11,Washington Wizards,82,19730,40.7,90.0,.452,5.8,16.4,.354,34.9,73.6,.474,19.2,25.5,.755,13.2,32.7,45.9,25.0,7.9,5.7,15.1,23.6,106.4
12,Seattle SuperSonics*,82,19830,40.3,89.8,.449,6.4,18.7,.344,33.9,71.1,.477,18.5,25.1,.739,14.8,31.6,46.4,24.9,7.7,5.4,17.0,22.1,105.6
13,Utah Jazz*,82,19830,37.2,83.4,.447,6.2,16.3,.383,31.0,67.1,.462,23.9,31.0,.771,12.4,29.6,42.0,21.3,10.0,7.3,18.4,27.7,104.6
14,New York Knicks,82,19805,39.5,88.7,.445,6.0,17.0,.353,33.5,71.8,.467,20.9,27.6,.757,13.0,34.3,47.3,23.8,9.3,5.2,14.9,22.6,105.9
15,Phoenix Suns,82,19830,39.1,88.2,.444,5.7,16.0,.358,33.4,72.2,.463,20.0,26.6,.751,13.6,33.0,46.6,24.1,9.1,6.3,16.7,20.1,104.0
16,Minnesota Timberwolves*,82,19805,39.7,89.1,.445,6.6,17.7,.372,33.1,71.4,.463,19.4,26.2,.742,12.2,31.1,43.3,24.8,7.3,5.4,14.7,22.4,105.3
17,Los Angeles Clippers,82,19805,41.3,92.4,.448,5.5,15.4,.355,35.9,77.0,.466,17.9,24.0,.745,14.3,32.0,46.3,25.0,8.2,5.9,14.2,23.9,106.0
18,Indiana Pacers*,82,19905,39.0,89.2,.438,5.5,15.7,.348,33.6,73.4,.457,20.2,27.0,.749,13.7,33.0,46.7,23.2,8.1,6.1,15.4,24.3,103.8
19,Sacramento Kings*,82,19755,39.8,90.4,.440,4.9,14.6,.337,34.9,75.8,.460,16.7,22.4,.744,13.5,33.3,46.8,23.4,8.0,4.9,15.8,23.2,101.1
20,Houston Rockets,82,19980,43.5,93.6,.464,5.0,14.0,.360,38.4,79.6,.482,16.6,22.1,.752,14.2,34.1,48.4,25.0,7.8,5.7,13.5,22.4,108.6
21,Memphis Grizzlies,82,19780,41.5,90.9,.457,5.3,14.8,.358,36.2,76.1,.476,17.9,23.8,.753,15.1,34.1,49.2,26.1,10.4,6.1,16.1,23.8,106.3
