,Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Values
566,2019,Dallas Mavericks,75,18175,41.5,90.0,0.461,15.1,41.1,0.367,26.4,48.9,0.541,18.5,23.8,0.779,10.5,36.3,46.8,24.6,6.1,4.8,12.7,19.4,116.7,0.04900423437356949
567,2019,Milwaukee Bucks,73,17595,41.0,86.1,0.476,13.1,36.9,0.355,27.9,49.3,0.567,17.3,23.4,0.742,9.0,40.0,49.0,24.5,6.8,5.6,14.3,18.6,112.4,0.05520886182785034
568,2019,Portland Trail Blazers,74,17835,41.7,90.2,0.463,12.7,33.7,0.377,29.0,56.4,0.514,17.5,21.8,0.804,10.1,34.7,44.8,20.4,6.2,6.0,12.6,21.5,113.7,0.052619099617004395
569,2019,Houston Rockets,72,17380,39.1,86.7,0.451,15.0,43.4,0.345,24.1,43.3,0.557,19.8,25.0,0.791,9.4,33.1,42.4,20.7,8.3,4.9,14.1,20.8,112.9,0.05546033754944801
570,2019,Los Angeles Clippers,72,17380,40.7,87.4,0.466,12.2,32.8,0.371,28.5,54.6,0.522,20.4,25.8,0.791,10.4,36.2,46.7,23.2,6.9,4.6,14.3,21.7,113.9,0.057251960039138794
571,2019,New Orleans Pelicans,72,17430,40.7,87.6,0.465,13.0,35.3,0.37,27.6,52.3,0.528,16.3,22.4,0.729,10.6,33.9,44.4,25.6,7.2,4.8,15.7,20.2,110.7,0.05625653266906738
572,2019,Phoenix Suns,73,17595,40.5,86.5,0.468,11.2,31.2,0.358,29.3,55.3,0.529,19.5,23.4,0.834,9.6,33.2,42.8,26.7,7.5,3.9,14.5,21.7,111.7,0.05523231625556946
573,2019,Washington Wizards,72,17355,40.3,88.1,0.457,11.6,31.6,0.368,28.6,56.6,0.506,18.8,23.8,0.788,9.9,30.9,40.8,24.3,7.7,4.2,13.7,22.0,110.9,0.05735929682850838
574,2019,Memphis Grizzlies,73,17570,41.3,88.1,0.468,10.6,30.5,0.347,30.7,57.6,0.532,16.1,21.1,0.763,10.0,35.1,45.1,26.1,7.7,5.3,14.8,20.5,109.2,0.05457897111773491
575,2019,Boston Celtics,72,17430,41.1,89.3,0.461,12.5,34.4,0.364,28.6,54.8,0.522,18.5,23.1,0.801,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3,0.055367473512887955
